"TransactionId","OMSId","AccountId","CR","DR","Counterparty","TransactionType","ReferenceId","ReferenceType","ProductId","Product","Balance","TimeStamp"
2072157933,1,224216,0,39.57573,2,"Other",127237322,"ManualEntry",8,"FDM",0.000006769999999,"2024/03/16 06:27:31.691"
1983648548,1,224216,39.57573,0,2,"Other",127093930,"ManualEntry",8,"FDM",39.57573677,"2023/12/26 02:38:57.208"
1839559803,1,224216,0,0.0001,2,"Other",126935371,"ManualEntry",76,"FDM_DEL",0,"2023/10/09 04:49:17.574"
1839530130,1,224216,0,39.57573,2,"Other",126935369,"ManualEntry",8,"FDM",0.000006769999999,"2023/10/09 04:36:17.826"
1721317807,1,224216,0.00573,0,2,"Other",126897869,"ManualEntry",8,"FDM",39.57573677,"2023/08/31 03:53:06.064"
1721233822,1,224216,0.0001,0,2,"Other",126897859,"ManualEntry",76,"FDM_DEL",0.0001,"2023/08/31 03:10:24.688"
1705811268,1,224216,0,0.0001,2,"Other",126891986,"ManualEntry",76,"FDM_DEL",0,"2023/08/25 21:06:09.680"
1701998714,1,224216,0.0001,0,2,"Other",126890715,"ManualEntry",76,"FDM_DEL",0.0001,"2023/08/24 13:21:07.330"
1697423757,1,224216,0,0.00573,2,"Other",126889412,"ManualEntry",8,"FDM",39.57000677,"2023/08/23 00:18:28.966"
1697369094,1,224216,0,0.0001,2,"Other",126889386,"ManualEntry",76,"FDM_DEL",0,"2023/08/22 23:56:12.832"
1697363131,1,224216,39.57573,0,2,"Other",126889381,"ManualEntry",8,"FDM",39.57573677,"2023/08/22 23:53:40.260"
1672404684,1,224216,0,39.57573,2,"Other",126882764,"ManualEntry",8,"FDM",0.000006769999999,"2023/08/15 03:08:20.393"
1672389396,1,224216,39.57573,0,2,"Other",126882763,"ManualEntry",8,"FDM",39.57573677,"2023/08/15 03:01:30.245"
1629498603,1,224216,0,39.57573,2,"Other",126869946,"ManualEntry",8,"FDM",0.000006769999999,"2023/08/01 14:13:14.235"
1531904213,1,224216,0.0001,0,2,"Other",126836842,"ManualEntry",76,"FDM_DEL",0.0001,"2023/06/26 20:49:55.024"
